Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
Phenotypic Selection,1,26,0.6052,24.12183548,0.003772617674370804
Phenotypic Selection,2,26,0.6375124999999999,26.7525782,0.17289037497675383
Phenotypic Selection,3,26,0.6612750000000001,25.8781126,0.3498007680741887
Phenotypic Selection,4,26,0.685875,29.1393076,-
Phenotypic Selection,0,27,0.5005025,19.33133921,0.007050966465642964
Phenotypic Selection,1,27,0.568775,23.70472992,0.039095914148966175
Phenotypic Selection,2,27,0.617725,25.7607345,0.284220841019243
Phenotypic Selection,3,27,0.64915,25.1076586,0.4357365465742475
Phenotypic Selection,4,27,0.677975,24.5888694,-
Phenotypic Selection,0,28,0.5002737500000001,19.12065471,0.0034820935395910345
Phenotypic Selection,1,28,0.59187,23.82718516,0.12048672907888032
Phenotypic Selection,2,28,0.63075,26.592552,0.4821195491082155
Phenotypic Selection,3,28,0.6626000000000001,27.2254284,0.7838543613379627
Phenotypic Selection,4,28,0.642825,26.6124198,-
Phenotypic Selection,0,29,0.5008325,17.65017629,-0.003259057843937274
Phenotypic Selection,1,29,0.6022875,22.12259714,0.2584648051741634
Phenotypic Selection,2,29,0.6720375,29.3396891,0.42915960325988356
Phenotypic Selection,3,29,0.738,27.505075,0.7446289053742189
Phenotypic Selection,4,29,0.760675,28.8503824,-
Phenotypic Selection,0,30,0.50096,17.42051894,-0.034915155734724236
Phenotypic Selection,1,30,0.5669774999999999,22.20067812,-0.057860273099974144
Phenotypic Selection,2,30,0.6293875,24.8727147,0.03533633649549551
Phenotypic Selection,3,30,0.6887749999999999,28.7837946,0.31075118892824805
Phenotypic Selection,4,30,0.7413000000000001,28.195817,-
GEBV Selection,0,1,0.5001975,20.4959197,0.07542021255560213
GEBV Selection,1,1,0.4778675,20.64537202,0.3424711375570468
GEBV Selection,2,1,0.669825,28.4861608,0.7078707672860367
GEBV Selection,3,1,0.74675,31.7813756,1.38796371546186
GEBV Selection,4,1,0.7849,31.8564036,-
GEBV Selection,0,2,0.50013625,19.8385472,-0.0032432619052041416
GEBV Selection,1,2,0.6919275,27.2543582,0.31752738646132106
GEBV Selection,2,2,0.793725,28.5786403,0.8908536912000394
GEBV Selection,3,2,0.835375,30.6930556,1.6190058947812151
GEBV Selection,4,2,0.8422750000000001,31.9758478,-
GEBV Selection,0,3,0.4998425,20.64303263,0.0028606019746626947
GEBV Selection,1,3,0.6431725,25.97185416,0.2079581504405915
GEBV Selection,2,3,0.7338,30.0198379,0.4715600863555372
GEBV Selection,3,3,0.8000999999999999,33.6685382,0.9554664460957183
GEBV Selection,4,3,0.837175,34.8632998,-
GEBV Selection,0,4,0.5006225,19.43836596,0.031974776297718874
GEBV Selection,1,4,0.66126,25.66815178,0.2863218805397777
GEBV Selection,2,4,0.7395375,26.2383245,0.7617332543899626
GEBV Selection,3,4,0.80325,31.263902,1.1044136745771955
GEBV Selection,4,4,0.8144500000000001,35.481261,-
GEBV Selection,0,5,0.49934,17.40715663,0.0014963322042633443
GEBV Selection,1,5,0.6430175,26.53468304,0.26732836455344444
GEBV Selection,2,5,0.7567999999999999,29.9943409,0.8542991501595247
GEBV Selection,3,5,0.8275750000000001,31.1598856,1.2580081666157088
GEBV Selection,4,5,0.8502750000000001,34.2830248,-
GEBV Selection,0,6,0.49896375,21.89404802,-0.0013484465646748994
GEBV Selection,1,6,0.6731825,25.27277782,0.3266481246369179
GEBV Selection,2,6,0.731975,30.3956619,0.6556923567197315
GEBV Selection,3,6,0.7415499999999999,33.477556,1.0957303806632133
